"hfpxzc href","qBF1Pd","W4Efsd 2","W4Efsd 3"
"https://www.google.com/maps/place/28.+Durak/data=!4m7!3m6!1s0x14d34fb729164d2d:0x392d44ca7df8b29!8m2!3d39.9093!4d32.870966!16s%2Fg%2F11bycl9178!19sChIJLU0WKbdP0xQRKYvfp0zUkgM?authuser=0&hl=tr&rclk=1","28. Durak","·","Bağlar Cd."
"https://www.google.com/maps/place/Eski+Son+Durak/data=!4m7!3m6!1s0x14d34fc31eefc47b:0x3c67aa4bffcf350a!8m2!3d39.8956353!4d32.8858241!16s%2Fg%2F11c0x8zryk!19sChIJe8TvHsNP0xQRCjXP_0uqZzw?authuser=0&hl=tr&rclk=1","Eski Son Durak","",""
"https://www.google.com/maps/place/Otelcilik+Okulu/data=!4m7!3m6!1s0x14d345f62a7ece2f:0x5723a9ab123598!8m2!3d39.8949!4d32.82275!16s%2Fg%2F11b7q5vpx0!19sChIJL85-KvZF0xQRmDUSq6kjVwA?authuser=0&hl=tr&rclk=1","Otelcilik Okulu","·","Çetin Emeç Blv"
"https://www.google.com/maps/place/Pazar+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d3460ff3c1f6e3:0xa488ff9da9ee935b!8m2!3d39.893014!4d32.79831!16s%2Fg%2F11fhr72_t9!19sChIJ4_bB8w9G0xQRW5PuqZ3_iKQ?authuser=0&hl=tr&rclk=1","Pazar Durağı","",""
"https://www.google.com/maps/place/Azerbaycan+Caddesi/data=!4m7!3m6!1s0x14d34edf542ee477:0x5f551cefcb1edb6b!8m2!3d39.9310079!4d32.8258044!16s%2Fg%2F11c55bjtg_!19sChIJd-QuVN9O0xQRa9sey-8cVV8?authuser=0&hl=tr&rclk=1","Azerbaycan Caddesi","·","Azerbaycan Cd. No:4"
"https://www.google.com/maps/place/37.+Durak/data=!4m7!3m6!1s0x14d34f28e97a2079:0xe50ae4e18b216604!8m2!3d39.929972!4d32.817932!16s%2Fg%2F11b7q7ntfc!19sChIJeSB66ShP0xQRBGYhi-HkCuU?authuser=0&hl=tr&rclk=1","37. Durak","·","Mevlana Blv."
"https://www.google.com/maps/place/Merkez+%C3%87ar%C5%9F%C4%B1/data=!4m7!3m6!1s0x14d346052a411729:0xd0bd6dfc8d2eaebb!8m2!3d39.895958!4d32.797415!16s%2Fg%2F11txvnlltl!19sChIJKRdBKgVG0xQRu64ujfxtvdA?authuser=0&hl=tr&rclk=1","Merkez Çarşı","",""
"https://www.google.com/maps/place/Be%C5%9Fevler+Metro+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d34ede5113f1e5:0x5066fcf7180ee67d!8m2!3d39.9325!4d32.82868!16s%2Fg%2F11b7q9045c!19sChIJ5fETUd5O0xQRfeYOGPf8ZlA?authuser=0&hl=tr&rclk=1","Beşevler Metro Durağı","·","Dögol Cd."
"https://www.google.com/maps/place/Pazar+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d345c0ecc8d099:0x62092dce7eda23ea!8m2!3d39.8712199!4d32.8294994!16s%2Fg%2F11b7q2hxw0!19sChIJmdDI7MBF0xQR6iPafs4tCWI?authuser=0&hl=tr&rclk=1","Pazar Durağı","·","Dikmen Cd"
"https://www.google.com/maps/place/%C4%B0lker+Son+Durak/data=!4m7!3m6!1s0x14d345c56e55378b:0xc31d21eb07476047!8m2!3d39.8683269!4d32.8217156!16s%2Fg%2F1tf90j1q!19sChIJizdVbsVF0xQRR2BHB-shHcM?authuser=0&hl=tr&rclk=1","İlker Son Durak","·","1121. Sk. No:8"
"https://www.google.com/maps/place/41.+Durak/data=!4m7!3m6!1s0x14d35a5804d7108f:0xb2f8c03064a58bcc!8m2!3d39.829!4d32.944435!16s%2Fg%2F11b7q5ksn4!19sChIJjxDXBFha0xQRzIulZDDA-LI?authuser=0&hl=tr&rclk=1","41. Durak","",""
"https://www.google.com/maps/place/Vergi+Denetim+Kurulu+Ba%C5%9Fkanl%C4%B1%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d348a41dc54a11:0x44dc0a25345296b6!8m2!3d39.9092037!4d32.7925184!16s%2Fg%2F11b7q5g4ny!19sChIJEUrFHaRI0xQRtpZSNCUK3EQ?authuser=0&hl=tr&rclk=1","Vergi Denetim Kurulu Başkanlığı","·","Dumlupınar Blv."
"https://www.google.com/maps/place/Evler+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d344e5162b1353:0x5c2c5c5ff77d0f40!8m2!3d39.83661!4d32.86628!16s%2Fg%2F11c1qpqvl5!19sChIJUxMrFuVE0xQRQA99919cLFw?authuser=0&hl=tr&rclk=1","Evler Durağı","",""
